AAAAA,BBBBB,CCCCC,DDDDD,EEEEE
4688,927430,784421,397589,82254
7909,360202,111338,923125,212658
8221,16757,111821,482916,286986
6340,789756,809093,613011,298979
5890,437542,836029,237581,704645
9512,839539,610046,2565,342414
4078,320531,602988,793452,570956
661,646856,45227,818441,444878
5619,234129,764353,948883,78910
8185,443560,349483,258230,748513
4224,452977,75802,312505,301568
5595,391932,414373,212368,905634
7965,708364,127669,800772,592557
1081,397695,592552,983566,143232
8297,818114,348479,131418,206487
5734,903447,337336,848261,125662
1442,751125,586087,754785,57076
1289,915511,32511,925954,644355
8206,865100,500572,707377,972730
6745,689154,508383,539459,676869
6809,326170,731631,808039,829621
9636,701549,791171,744754,631020
9356,835885,352084,847650,951838
5593,297918,356067,146815,311190
9852,223708,182330,688165,283603
4433,386868,864586,204483,363452
9109,892490,734685,828772,541608
7331,86923,841751,375131,696079
3636,196936,771332,923038,224841
8686,529979,300959,343314,651481
7602,233064,722492,504117,349497
3071,67466,279986,875039,179806
87,184253,842974,606188,147566
2504,520189,759448,317055,460925
8349,673072,983756,475702,881598
7766,750525,862456,193250,478437
2392,384106,10293,897645,875702
9947,708514,947373,784310,449401
2552,995052,87972,310712,514853
4111,292168,609463,175785,603315
2643,470138,566195,301681,657548
4739,359865,235279,515724,156948
4149,214050,791370,750475,372734
2362,449593,216154,932390,69350
9743,718473,353726,66785,946652
9763,112295,296462,296602,492497
1538,222101,881706,700201,509195
2523,301291,910227,466329,985630
6484,376133,733881,549272,969852
8422,230444,699720,913153,143326
9426,208301,319112,395822,531929
8078,803054,627604,540660,33831
2332,6441,587297,455774,609807
339,90188,791764,766394,868059
5786,307241,410153,855663,288619
9005,888435,428151,214524,968416
6268,229033,924512,3577,484365
2870,875082,760855,23447,516170
7844,942344,928160,980623,687868
844,302248,838657,208326,201223
4803,768849,915480,707097,56051
2113,311330,162502,648371,584670
6146,547824,43780,117466,116348
6140,690519,418441,290606,288032
8028,176299,95890,888639,8104
6038,650915,186784,745442,258047
3107,39078,625740,650862,47711
7772,447352,879634,377581,250165
6909,944032,41313,59240,15122
5092,661376,487352,110324,992066
6011,746995,486810,963625,629779
876,647269,416116,536938,797061
1944,653570,914692,518105,715096
1850,259097,907381,474610,626660
3746,298466,727470,866159,161571
245,235693,128304,364096,905446
852,546672,850889,755627,883117
385,120055,905985,429358,446107
4682,598648,868196,509009,46246
3936,439323,330571,999555,514880
4996,791280,212535,954565,829400
8882,829124,791042,867770,713788
7648,537842,868056,401008,94987
535,384633,646931,273626,691334
2678,530249,94745,954945,981572
7238,312567,520744,422219,362230
8431,82855,294299,538367,524256
826,233910,56823,996802,131176
6314,709447,289169,558032,814037
7353,829963,794462,397241,85429
5708,472486,922804,220236,299074
9000,155620,116262,840258,439739
6755,548176,683347,517217,803162
4738,651000,737971,439883,422747
3817,140220,960969,392138,379468
188,644659,842520,796345,773027
4938,240973,517898,220843,229083
8600,568554,665391,445065,995734
7206,498085,984194,61230,55781
7547,191477,49486,390264,891060
8001,631563,478753,974070,845136
6058,804306,251401,499589,544903
2116,689911,139115,824279,848545
4242,862201,760614,504164,270826
1264,305154,589752,200024,118588
3432,203142,582730,801187,296319
8250,820379,592253,613219,757027
1656,145094,856264,812805,597418
3139,683074,894239,285314,599593
9157,498836,465715,650550,357
4073,292920,830884,183741,451012
2451,45885,496341,423876,171534
9935,495122,313675,247441,812413
6395,530234,626704,264709,599978
9741,406280,975072,195008,318258
8630,233740,769521,950653,977742
2687,612069,754838,135997,609245
1595,885547,796068,536844,350020
485,560185,736726,480557,130589
2064,866723,294393,773778,154035
8375,346523,172148,852640,913403
5087,627973,497040,9740,891438
4966,201390,922003,862187,293649
6389,637209,136281,768388,997616
6958,744797,166305,612228,180275
1843,824712,880749,345898,716031
2523,783580,184996,596277,746005
6571,918524,264338,614175,41494
4430,9707,469526,338707,996100
2963,754130,280703,857142,751390
6402,355877,537999,180306,423266
6077,93402,964889,392424,127758
8314,579772,926896,850240,471012
2299,73597,927673,212201,148282
4908,801930,584460,987792,613283
6097,753557,443916,872917,112923
9021,808850,586087,260336,832673
2029,879087,577242,505228,788158
4464,911856,484880,978620,590924
9386,957463,896707,198883,64838
1950,313204,432964,264447,44650
6137,176575,202185,578685,918475
3203,482442,626985,937531,677593
3707,82976,435181,783476,51623
6522,489661,803102,64473,249053
2102,595379,776181,892646,129109
2339,241656,279664,643336,288681
2407,771962,251465,706813,765085
7975,500562,897917,597301,999504
7095,606787,611346,969873,653427
5668,351027,453039,327505,7679
11,479120,588300,871694,345158
593,624373,980913,774812,953967
7537,385655,44132,377288,657657
5760,600834,476405,457209,348031
4379,29364,227558,142402,198909
3045,730604,980096,410338,58773
2773,722155,382935,880317,800103
8587,214453,496290,403326,347722
51,724576,152034,397917,392561
5387,894186,216306,621558,281497
3997,758050,252653,655886,775628
5813,108871,262098,503848,113293
7295,265163,416189,103393,8858
3847,535097,464574,161363,202864
11,729498,666942,970638,480131
1715,966044,945194,551662,397015
6533,492019,505113,618523,361443
2079,768118,896135,94366,214232
2881,382880,32287,403489,412848
5508,107317,930302,117103,129746
4912,29321,931455,432018,436666
4725,621074,976860,429866,575937
9266,597705,47465,71510,676954
2525,325712,161015,869319,519231
5151,878828,672515,742648,834727
8304,217480,401265,104599,475360
688,174471,368240,626766,743424
309,824474,837925,955068,281034
5908,212753,708365,628464,958365
6642,674239,864117,562335,902851
1042,426042,33631,308916,348277
8429,445140,285344,73495,774826
6206,815865,664602,888966,542802
9428,925347,488222,345139,816382
4710,727600,156722,129823,169762
8464,152216,581278,887222,908156
1110,89650,508930,744813,358591
9437,954642,495737,430931,507014
8174,795651,171407,788769,424251
2007,156527,686853,687909,32406
5602,232313,355650,413607,120200
2691,771319,734882,355452,698776
8776,638647,36913,323555,641073
645,783067,57460,675337,577730
6117,244670,305754,994997,175919
6223,115472,29649,126023,431371
2310,627950,477652,160661,439232
5977,353993,555183,11203,837937
2315,422595,324533,207812,866042
4320,306062,812884,513682,718420
4773,674456,361220,336184,722046
4860,261612,861053,518637,22261
1650,761832,884572,28502,86426
2269,967153,522134,766163,913711
3510,622284,100880,753233,29754
6544,93783,91401,287798,797105
3885,741487,861732,288478,516542
4958,310253,265646,2346,348139
428,613801,468971,782941,386615
9626,651016,523816,447512,178605
9009,788454,327737,797448,155743
9933,675610,322569,749547,517597
8287,230717,456104,741967,919660
5472,198470,423232,152790,36941
2107,687756,235803,564386,794830
566,633245,785174,629261,978738
4514,932441,111960,38927,154352
8547,141331,127374,658085,800367
1935,114114,826529,262143,170639
1702,599470,414935,650062,131568
3157,939916,181848,293351,362467
3951,430293,596460,74453,892864
5621,878214,850590,675360,571825
1213,923412,989507,546299,368873
7242,613522,342346,982209,626223
5656,995708,496993,470348,193395
3377,896588,208094,452717,477456
7135,802840,193971,190529,332523
6035,364760,533507,680433,458333
5864,287535,761911,985993,196995
8003,549246,230173,617170,833255
2904,773016,179294,954222,947714
1829,603203,722295,84639,604557
8968,734313,154985,850721,400379
2203,81720,324171,633327,927209
8086,22596,216205,681527,58516
1300,474726,298759,309622,681705
6055,914695,432684,329422,612384
434,389117,658973,946553,891093
2233,50967,937580,726832,469331
7492,180490,169556,760671,292287
5410,286529,503949,435927,85724
2428,268009,857720,660387,509548
7542,345515,757647,224752,809297
9348,99025,29988,859323,298462
947,778293,970348,639574,259323
1821,88459,547884,620267,209872
920,761236,524728,802651,237700
3121,75349,814902,152412,701831
633,716868,298746,872493,502001
162,705084,905341,163787,503725
8571,158493,533566,319816,732347
7592,779840,341845,724261,193232
6893,576921,877725,115995,158649
8316,109044,389698,356132,763071
6884,258976,963320,868900,528151
8062,822554,123644,437720,495506
8210,991700,816725,932743,500767
7034,47198,99979,807305,202737
3284,398355,474378,496323,703818
153,193245,950495,215221,307108
2820,686642,494956,882,824105
8519,284682,120548,98617,708983
700,755059,136987,422993,111077
6523,66426,733482,815080,788309
6492,913143,892606,316108,159819
3873,483171,394896,510964,86774
7799,216237,76411,189196,930554
6461,155421,348619,984166,968234
6473,603228,341994,658149,498556
8215,818452,632376,428235,726833
2439,325482,787730,750821,642445
7388,83030,120212,832897,110121
441,813771,928513,225525,884856
5729,207196,683793,853423,568257
7616,47586,586881,38772,245088
2752,485801,324645,365085,76257
1922,467011,104937,513308,841414
3369,245192,677334,124662,957654
5299,753467,336100,566114,625962
1275,391666,458539,76489,226210
1645,691308,401954,994717,885939
716,878939,268597,79468,801597
4861,751378,546336,387176,599432
8086,678334,365024,816785,474540
2837,411826,280893,971024,216538
6112,885866,79623,296044,158638
4065,896608,253397,109011,377336
